,nationality,year,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
0,American,2015.0,0.0,0.0,18.2,1.4832396974191324,0.0,0.0,0.0
1,Australian,2012.0,4.725,7.023723535824308,9.225,5.131538980431925,0.675,0.9167249398727055,27.0
2,Australian,2013.0,5.7631578947368425,6.875079205544003,9.81578947368421,6.362284406830593,0.0,0.0,0.0
3,Australian,2014.0,12.526315789473685,8.309087535494774,5.842105263157895,4.323876320241889,1.5789473684210527,1.346426937147361,30.0
4,Australian,2015.0,4.842105263157895,5.550406971012094,8.789473684210526,4.82561392028023,0.0,0.0,0.0
5,Australian,2016.0,12.19047619047619,5.68875247852328,4.285714285714286,3.2115861679683637,0.2857142857142857,0.4629100498862757,6.0
6,Australian,2017.0,10.0,7.525395600722158,6.45,5.689093906210743,0.65,0.4893604849295929,13.0
7,Australian,2018.0,8.095238095238095,7.777562355293346,5.761904761904762,5.656012393062465,1.6666666666666667,0.6582805886043833,35.0
8,Australian,2019.0,2.5714285714285716,3.80225497003329,11.714285714285714,4.807731867969107,0.0,0.0,0.0
9,Australian,2020.0,7.0,5.361902647381804,7.529411764705882,5.613796031416972,0.0,0.0,0.0
10,Australian,2021.0,5.181818181818182,6.314279837806515,10.5,4.361629228145089,0.4090909090909091,0.5032362797401965,9.0
11,Australian,2022.0,1.5454545454545454,2.8904979423930324,12.772727272727273,4.363613816680566,0.0,0.0,0.0
12,Belgian,2017.0,0.65,1.8431951662948316,11.7,5.795642646351699,0.0,0.0,0.0
13,Belgian,2018.0,0.5714285714285714,1.2873006086935783,13.19047619047619,2.96005147960382,0.0,0.0,0.0
14,Brazilian,2012.0,3.825,5.037742168258133,9.7,5.229109842371811,0.0,0.0,0.0
15,Brazilian,2013.0,5.894736842105263,4.794611985715554,9.421052631578947,4.598499628184106,0.0,0.0,0.0
16,Brazilian,2014.0,7.052631578947368,8.922342020708628,6.368421052631579,4.716525631764098,0.0,0.0,0.0
17,Brazilian,2015.0,3.8947368421052633,5.017749434590742,9.81578947368421,5.023486800038044,0.0,0.0,0.0
18,Brazilian,2016.0,1.3095238095238095,2.6271388056776384,12.80952380952381,4.84006699831725,0.0,0.0,0.0
19,Brazilian,2017.0,2.263157894736842,2.6000449838663666,10.210526315789474,4.4793222127214865,0.0,0.0,0.0
20,Brazilian,2020.0,0.0,0.0,12.5,6.363961030678928,0.0,0.0,0.0
21,British,2012.0,7.066666666666666,8.566522674601595,9.283333333333333,5.486784327808685,1.0666666666666667,1.1769922406130282,64.0
22,British,2013.0,4.078947368421052,5.400649733491301,11.93421052631579,6.139132460569738,0.13157894736842105,0.34027852368936035,10.0
23,British,2014.0,9.272727272727273,11.360188028984027,9.49090909090909,6.997017161494542,1.8727272727272728,3.1508643461669563,103.0
24,British,2015.0,7.089285714285714,10.23057233929805,9.875,7.529487487085812,1.9285714285714286,3.263334284033839,108.0
25,British,2016.0,6.380952380952381,9.664415225919576,10.396825396825397,7.245776706601249,1.380952380952381,2.690656302169701,87.0
26,British,2017.0,9.763157894736842,10.49950889591873,6.842105263157895,6.015863334908454,2.4473684210526314,3.2440995787450264,93.0
27,British,2018.0,19.428571428571427,7.011215504970793,3.5714285714285716,2.1810875399999095,4.714285714285714,3.5516595718460566,99.0
28,British,2019.0,7.333333333333333,9.883188724032275,10.53968253968254,6.487768632825722,2.126984126984127,3.5536989520328635,134.0
29,British,2020.0,8.764705882352942,10.16383438529794,8.352941176470589,6.052515276847354,1.7843137254901962,3.2699463328329785,91.0
30,British,2021.0,8.507575757575758,9.041142041647692,7.636363636363637,5.955311433143884,1.378787878787879,2.2447556078396906,91.0
31,British,2022.0,9.257575757575758,6.232200762196797,6.166666666666667,4.237500472732747,0.030303030303030304,0.1727334068350122,2.0
32,Canadian,2017.0,2.0,3.8525452967042315,9.95,4.628004003091569,0.0,0.0,0.0
33,Canadian,2018.0,0.2857142857142857,0.9561828874675149,12.333333333333334,5.507570547286101,0.0,0.0,0.0
34,Canadian,2019.0,1.0,2.6457513110645907,11.476190476190476,4.261678631936571,0.0,0.0,0.0
35,Canadian,2020.0,2.272727272727273,4.6116206971676945,12.333333333333334,5.520794025017294,0.0,0.0,0.0
