,nationality,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
0,Australian,6.480769230769231,7.0680377550744335,8.638461538461538,5.579199989915446,0.46153846153846156,0.8116320956853903,120.0
1,British,7.9731707317073175,9.353343156524431,8.991869918699187,6.434961428198293,1.4341463414634146,2.720139309168826,882.0
2,Dutch,10.849726775956285,9.51376027343148,6.459016393442623,5.853261804539162,1.9726775956284153,3.2232529026753665,361.0
3,Finnish,7.349282296650718,7.451040000267425,7.858851674641149,5.430765951693329,0.3181818181818182,0.7074150230412866,133.0
4,French,2.1698473282442747,3.9784033586963217,12.461832061068701,5.708374419301831,0.04198473282442748,0.20074591246794102,22.0
5,German,6.53416149068323,8.2131640007914,9.062111801242237,6.366894783809693,0.9239130434782609,1.9138814099950867,595.0
6,Mexican,4.241007194244604,5.810749567331575,9.76978417266187,5.405995530786369,0.1474820143884892,0.4117113943511,41.0
7,Monegasque,8.262135922330097,7.312306528425741,7.320388349514563,5.345354575140979,0.6893203883495146,1.1116947512129207,71.0
8,Spanish,4.6236702127659575,5.932958640252801,9.773936170212766,6.068450559951985,0.23404255319148937,0.6681402154620916,88.0
9,Venezuelan,0.974025974025974,3.312551989558352,11.103896103896103,6.148565120554156,0.2077922077922078,0.4083877909943187,16.0
