,nationality,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
0,American,0.0,0.0,18.2,1.4832396974191324,0.0,0.0,0.0
1,Australian,6.480769230769231,7.0680377550744335,8.638461538461538,5.579199989915446,0.46153846153846156,0.8116320956853903,120.0
2,Belgian,0.6046511627906976,1.5296986146315745,12.348837209302326,4.513913521811426,0.0,0.0,0.0
3,Brazilian,3.6033519553072626,5.184699827066159,10.156424581005586,5.163408481280649,0.0,0.0,0.0
4,British,7.9731707317073175,9.353343156524431,8.991869918699187,6.434961428198293,1.4341463414634146,2.720139309168826,882.0
5,Canadian,1.1092896174863387,2.8379436600923995,12.573770491803279,5.075665981507035,0.0,0.0,0.0
6,Chinese,0.2727272727272727,0.8827348295047496,11.818181818181818,5.917177284228267,0.0,0.0,0.0
7,Danish,1.2605633802816902,2.771894345373196,12.161971830985916,5.481933349414953,0.0,0.0,0.0
8,Dutch,10.849726775956285,9.51376027343148,6.459016393442623,5.853261804539162,1.9726775956284153,3.2232529026753665,361.0
9,Finnish,7.349282296650718,7.451040000267425,7.858851674641149,5.430765951693329,0.3181818181818182,0.7074150230412866,133.0
10,French,2.1698473282442747,3.9784033586963217,12.461832061068701,5.708374419301831,0.04198473282442748,0.20074591246794102,22.0
11,German,6.53416149068323,8.2131640007914,9.062111801242237,6.366894783809693,0.9239130434782609,1.9138814099950867,595.0
12,Indian,0.0,0.0,20.75,5.1490929196060184,0.0,0.0,0.0
13,Indonesian,0.0,0.0,16.083333333333332,6.41671585970911,0.0,0.0,0.0
14,Italian,0.3387096774193548,1.3421727966139032,12.919354838709678,4.312765599696676,0.0,0.0,0.0
15,Japanese,1.3,3.1478342967020465,11.45,6.449217399288936,0.0,0.0,0.0
16,Mexican,4.241007194244604,5.810749567331575,9.76978417266187,5.405995530786369,0.1474820143884892,0.4117113943511,41.0
17,Monegasque,8.262135922330097,7.312306528425741,7.320388349514563,5.345354575140979,0.6893203883495146,1.1116947512129207,71.0
18,New Zealander,0.16,0.4725815626252608,12.96,5.63086731034098,0.0,0.0,0.0
19,Polish,0.043478260869565216,0.20851441405707474,17.869565217391305,2.5990268777876158,0.0,0.0,0.0
20,Russian,1.16,3.0714854693626243,12.48,5.876937195903808,0.0,0.0,0.0
21,Spanish,4.6236702127659575,5.932958640252801,9.773936170212766,6.068450559951985,0.23404255319148937,0.6681402154620916,88.0
22,Swedish,0.18556701030927836,0.6008656413045628,14.989690721649485,4.316863361093389,0.0,0.0,0.0
23,Thai,3.406779661016949,4.694525954063124,9.915254237288135,5.308705068396105,0.0,0.0,0.0
24,Venezuelan,0.974025974025974,3.312551989558352,11.103896103896103,6.148565120554156,0.2077922077922078,0.4083877909943187,16.0
